Manufacturer,Model,Glass Diameter (mm),Image Diameter (mm),Closest Production Size (mm),Undercut (mm),Production Review,Notes
"DTS","XR 8","27.9","23","27.8","0.1","",""
"DTS","XR 9","27.9","23","27.8","0.1","",""
"DTS","XR 2000","27.9","23","27.8","0.1","",""
"DTS","XR 3000 Spot","27.9","23","27.8","0.1","",""
"DTS","XRT 250","26.9","23","26.5","0.4","",""
"Ecolight","9 LED, 10 LED","37.5","28","37.5","0","",""
"Ecolight","25 LED, 40 LED","53.3","40","53.3","0","",""
"Ecolight","35 HID","37.5","28","37.5","0","",""
"Ecolight","50 EASY Downlight","37.5","28","37.5","0","",""
"Ecolight","50 HAL","37.5","28","37.5","0","",""
"Ecolight","80 LED, 150 LED, 200 LED","66","45","66","0","",""
"Ecolight","250 HID","66","45","66","0","",""
"Elation","Active Scan 250","26.9","23","26.5","0.4","",""
"Elation","Active Wave 250","26.9","23","26.5","0.4","",""
"Elation","Artiste Da Vinci - Static Wheel Metal Gobos Only","25.8","22","25.5","0.3","","1.1mm Maximum Thickness."
"Elation","Artiste DaVinci","29.8","20","27.8","2","Nearest size is 2 mm under the holder",""
"Elation","Artiste Mondrian","34","24","33.8","0.2","","1.1mm Maximum Thickness"
"Elation","Artiste Monet","29.8","25","27.8","2","Nearest size is 2 mm under the holder","1.1mm Maximum Thickness, High Temperature Optics (Heavy Matted)."
"Elation","Artiste Picasso","29.8","22","27.8","2","Nearest size is 2 mm under the holder","1.1mm Maximum Thickness."
"Elation","Artiste Picasso - Rotating Wheel Glass Only","29.8","25","27.8","2","Nearest size is 2 mm under the holder","Glass gobos only. 1.1mm Maximum Thickness."
"Elation","Artiste Picasso - Static Wheel Metal Only","29.8","22","27.8","2","Nearest size is 2 mm under the holder",""
"Elation","Color Spot 575","27","23","26.5","0.5","",""
"Elation","Colour 5 Profile","86","64.5","86","0","","Metal gobos only."
"Elation","CW Profile HP","86","64.5","86","0","","Metal gobos only."
"Elation","CW Profile HP IP","86","64.5","86","0","","Metal gobos only."
"Elation","Design Spot 250","27","23","26.5","0.5","","1mm Maximum Thickness."
"Elation","Design Spot 250, 300, 500, 700, LED","26.8","23","26.5","0.3","",""
"Elation","Design Spot 300 Pro","26.9","23","26.5","0.4","","1mm Maximum Thickness."
"Elation","Design Spot 575","26.9","23","26.5","0.4","","1mm Maximum Thickness."
"Elation","Design Spot 1200, 1400","37.5","28","37.5","0","",""
"Elation","Design Spot 1400","37.5","31","37.5","0","",""
"Elation","Design Spot LED","26.9","24","26.5","0.4","","1mm Maximum Thickness."
"Elation","DW Profile","86","64.5","86","0","",""
"Elation","E Spot III","26.8","21.4","26.5","0.3","",""
"Elation","E Spot LED","26.9","24","26.5","0.4","","1mm Maximum Thickness."
"Elation","E Spot LED 2","27","22","26.5","0.5","",""
"Elation","ELAR Image X","37.5","20","37.5","0","",""
"Elation","Elar Image X, XR","37.5","28","37.5","0","",""
"Elation","ELAR Image XR","37.5","20","37.5","0","",""
"Elation","Emanon Spotlight","66","45","66","0","",""
"Elation","Focus Spot 250","27","24","26.5","0.5","","1mm Maximum Thickness."
"Elation","Focus Spot 250R","27","23","26.5","0.5","",""
"Elation","FUZE Max Profile","30","25","29.9","0.1","","Glass gobos only."
"Elation","FUZE Max Spot","30","25","29.9","0.1","","Glass gobos only."
"Elation","FUZE PFX","16.5","12.5","16","0.5","",""
"Elation","Fuze Profile","29.9","25","29.9","0","","1.1mm Maximum Thickness, High Temperature Optics (Heavy Matted)."
"Elation","FUZE SFX","16.4","12.5","16","0.4","","Glass gobos only. 1.1mm Maximum Thickness."
"Elation","Fuze Spot","29.9","25","29.9","0","","1.1mm Maximum Thickness, High Temperature Optics (Heavy Matted)."
"Elation","FUZE Teatro","30","25","29.9","0.1","","Glass gobos only."
"Elation","Image IP2","51.8","35.5","50","1.8","Nearest size is 1.8 mm under the holder",""
"Elation","Image Pro 300","51.8","35.5","50","1.8","Nearest size is 1.8 mm under the holder",""
"Elation","Image Pro 300 Rotating Wheel (IP-RGW)","31.5","23","31.5","0","",""
"Elation","Joy-150","26","22","25.5","0.5","",""
"Elation","Joy-300","26","22","25.5","0.5","",""
"Elation","KL Profile","30","25","29.9","0.1","","Glass gobos only."
"Elation","KL Profile Compact","65.5","45","53.3","12.2","Nearest size is 12.2 mm under the holder","Metal gobos only."
"Elation","KL Spot IP","29.9","25","29.9","0","","High-temperature glass gobos only."
"Elation","Paragon S","20.8","14","20","0.8","","Glass gobos only. 1.1mm Maximum Thickness (Pos 1-6) 2.5mm Maximum Thickness (Pos 7)."
"Elation","Patend 1200","37.5","27","37.5","0","",""
"Elation","Patend Light 1200","37.5","28","37.5","0","",""
"Elation","Platinum Beam 5R","14","8","","","No production size at or below 14 mm","Metal gobos only."
"Elation","Platinum Beam 5R Extreme","14","6","","","No production size at or below 14 mm","Metal gobos only."
"Elation","Platinum FLX","16.1","10","16","0.1","",""
"Elation","Platinum HFX","13.8","9","","","No production size at or below 13.8 mm","Verify with supplier as spec's have changed."
"Elation","Platinum Profile LED","24.8","16.5","23.7","1.1","Nearest size is 1.1 mm under the holder","Glass gobos only."
"Elation","Platinum Spot 5R","14","7","","","No production size at or below 14 mm","No glass size available. GoboPlus lists glass 27mm; image 22mm - verify."
"Elation","Platinum Spot 5R Pro","14","8","","","No production size at or below 14 mm",""
"Elation","Platinum Spot 15R","16.3","10","16","0.3","",""
"Elation","Platinum Spot 15R (B & Pro)","16.3","10","16","0.3","","15.9mm Robe Pointe Glass."
"Elation","Platinum Spot 35R","28.8","24","27.8","1","Nearest size is 1 mm under the holder",""
"Elation","Platinum Spot LED 2","27","22","26.5","0.5","","Gobo holder: Wheel B only."
"Elation","Platinum Spot LED II","27","22","26.5","0.5","",""
"Elation","Platinum Spot LED III","26.8","21.4","26.5","0.3","","GoboPlus lists image 22mm - verify."
"Elation","Power Spot 250","27","23","26.5","0.5","",""
"Elation","Power Spot 250, 575, 700","26.8","23","26.5","0.3","",""
"Elation","Power Spot 575","26.9","23","26.5","0.4","",""
"Elation","Power Spot 575IE","26.9","23","26.5","0.4","",""
"Elation","Power Spot 700","26.9","23","26.5","0.4","",""
"Elation","Power Spot 700 CMY II","26.9","23","26.5","0.4","",""
"Elation","Pro 300 II","51.8","35","50","1.8","Nearest size is 1.8 mm under the holder",""
"Elation","Proteus Brutus","34","24","33.8","0.2","","2.2mm Maximum Thickness"
"Elation","Proteus Excalibur","13.8","7","","","No production size at or below 13.8 mm","2.2mm Maximum Thickness"
"Elation","Proteus Hybrid","16.4","9","16","0.4","","Glass gobos only."
"Elation","Proteus Hybrid Max","13.8","9","","","No production size at or below 13.8 mm","2.2mm Maximum Thickness"
"Elation","Proteus Lucius (Rot. Wheel 1)","34","21","33.8","0.2","","2.5mm Maximum Thickness"
"Elation","Proteus Lucius (Rot. Wheel 2)","26.8","21","26.5","0.3","","2.5mm Maximum Thickness"
"Elation","Proteus Lucius (Static Wheel)","30","21","29.9","0.1","","1.1mm Maximum Thickness"
"Elation","Proteus Lucius - Wheel 1, Glass Only","33.8","21","33.8","0","","1.1mm Maximum Thickness."
"Elation","Proteus Lucius - Wheel 2, Glass Only","26.8","21","26.5","0.3","","1.1mm Maximum Thickness."
"Elation","Proteus Maximus","29.8","25","27.8","2","Nearest size is 2 mm under the holder","1.1mm Maximum Thickness, High Temperature Optics (Heavy Matted)."
"Elation","Proteus Odeon - Rotating Wheel","26.8","21","26.5","0.3","",""
"Elation","Proteus Odeon - Wheel 1","33.8","21","33.8","0","",""
"Elation","Proteus Smarty Hybrid","14","7","","","No production size at or below 14 mm","1.1mm Maximum Thickness."
"Elation","Rebel Profile Fixed Wheel","23","11","22.5","0.5","","1.1mm Maximum Thickness."
"Elation","Rebel Profile Rotating Wheel","23","15","22.5","0.5","","Glass gobos only. 1.1mm Maximum Thickness."
"Elation","Satura Profile - Rotating Wheel","28.8","23","27.8","1","Nearest size is 1 mm under the holder",""
"Elation","Satura Profile - Static Wheel","27","22","26.5","0.5","",""
"Elation","Satura Spot CMY","28.8","24","27.8","1","Nearest size is 1 mm under the holder",""
"Elation","Satura Spot CMY Pro","28.8","24","27.8","1","Nearest size is 1 mm under the holder",""
"Elation","Satura Spot LED Pro","27","22","26.5","0.5","",""
"Elation","SBX","15.9","10","","","No production size at or below 15.9 mm",""
"Elation","Smarty Hybrid","14","7","","","No production size at or below 14 mm","1.1mm Maximum Thickness."
"Elation","Smarty Max","13.8","9","","","No production size at or below 13.8 mm","1.1mm Maximum Thickness."
"Elation","TMH-X12","24","20","23.7","0.3","",""
"Elation","Vision Scan 250","27","23","26.5","0.5","",""
"Elation","Vision Scan 575","22.5","18","22.5","0","",""
"Elation","Vizi Spot, Vizi Spot Platinum","14","8","","","No production size at or below 14 mm",""
"Elation","WW Profile HP","86","64.5","86","0","","Metal gobos only."
"Elektralite","Elektrik Eye","27","24","26.5","0.5","",""
"Elektralite","my150","27","25","26.5","0.5","",""
"Elektralite","my250","27","25","26.5","0.5","",""
"Elektralite","my575.2","27","25","26.5","0.5","",""
"Elektralite","my575.3","27","25","26.5","0.5","",""
"Elinchrom","18/36","65.5","48","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"Elinchrom","Minispot","53.3","38","53.3","0","",""
"Elinchrom","Minispot","52","38","50","2","Nearest size is 2 mm under the holder",""
"Elinchrom","Spot Lite 3000","86","50","86","0","","Gobo holder: Optical Zoom Spotlight Accessory."
"Elinchrom","Zoom Spot","86","64.5","86","0","","Gobo holder: Optical Zoom Spotlight Accessory."
"Elite","Servo Scan 250, 575","26.8","23","26.5","0.3","",""
"Elite","Servo Spot 250, 575","26.8","23","26.5","0.3","",""
"Elite","Servo Spot 600","32.5","25","31.5","1","Nearest size is 1 mm under the holder",""
"Elite","Servo Zoom","37.5","28","37.5","0","",""
"Enliten","BP 75 Series","53.3","40","53.3","0","",""
"Enliten","Callisto","86","64.5","86","0","",""
"Erco","Eclipse","100","75","100","0","",""
"Erco","Pollux","56","20","53.3","2.7","Nearest size is 2.7 mm under the holder",""
"Erco","Stella","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"ETC","ColorSource Spot Jr","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder","2mm Maximum Thickness."
"ETC","ColorSource Spot V - A Size Holder","100","75","100","0","",""
"ETC","ColorSource Spot V - B Size Holder","86","64.5","86","0","",""
"ETC","Halcyon Gold Rotating Wheel","25.3","18","25","0.3","","Glass gobos only. Requires special mounting ring."
"ETC","Halcyon Platinum","29.9","24","29.9","0","","Glass gobos only. 1.1mm Maximum Thickness. Requires special mounting ring."
"ETC","Halcyon Silent","29.9","21","29.9","0","","Glass gobos only. Requires special mounting ring."
"ETC","Halcyon Titanium","29.9","21","29.9","0","","Glass gobos only. 1.1mm Maximum Thickness. Requires special mounting ring."
"ETC","Hyperstar","17.5","13","16","1.5","Nearest size is 1.5 mm under the holder","Glass gobos only. 1.1mm Maximum Thickness."
"ETC","Irideon FPZ","37.5","24","37.5","0","",""
"ETC","Lonestar","17.5","13","16","1.5","Nearest size is 1.5 mm under the holder","Glass gobos only. 1.1mm Maximum Thickness."
"ETC","Ministar","30","15","29.9","0.1","","Glass gobos only."
"ETC","Relevé Spot","45.5","36","44","1.5","Nearest size is 1.5 mm under the holder",""
"ETC","Revolution","66","49.5","66","0","",""
"ETC","Source Four A-Size","100","75","100","0","",""
"ETC","Source Four B-Size","86","64.5","86","0","",""
"ETC","Source Four Effects Gate - B Size","86","64.5","86","0","","Gobo holder: 15786 metal and glass, GH77 glass."
"ETC","Source Four Gobo Gate - B size","86","64.5","86","0","","Gobo holder: GH56 glass, GH59 metal, GH75 glass."
"ETC","Source Four Jr","66","49.5","66","0","",""
"ETC","Source Four Junior - M size","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder","Gobo holder: GH63 metal, GH64 glass."
"ETC","Source Four Mini","37.5","25.4","37.5","0","","1.1mm Maximum Thickness."
"ETC","Source Four Mini - E size","37.5","24","37.5","0","",""
"ETC","Source Four Revolution","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder","Gobo holder: Gobo Rotator."
"Eternal","Ultra 100W LED","80","62","70","10","Nearest size is 10 mm under the holder",""
"Eurolite","Centerpiece, TS-255, TS-8","25","17","25","0","",""
"Eurolite","LP50","37.5","25","37.5","0","",""
"Eurolite","LP-5","50","28","50","0","",""
"Eurolite","LP-6","30","24","29.9","0.1","",""
"Eurolite","LP-7 IP","35","26","33.8","1.2","Nearest size is 1.2 mm under the holder",""
"Eurolite","LP-15 LED","28.7","22","27.8","0.9","",""
"Eurolite","LP-25","37.5","28","37.5","0","",""
"Eurolite","LP-30","27","18","26.5","0.5","",""
"Eurolite","LP-150","53.3","40","53.3","0","",""
"Eurolite","TMH-155","27.5","21","26.5","1","Nearest size is 1 mm under the holder",""
"Eurolite","TMH-155, TMH-250","27","22","26.5","0.5","",""
"Eurolite","TMH-S30","14","10","","","No production size at or below 14 mm","0.5mm Maximum Thickness."
"Eurolite","TMH-S90","21.8","16","21.4","0.4","",""
"Eurolite","TMH-S200","19.5","15","16","3.5","Nearest size is 3.5 mm under the holder",""
"Eurolite","TMH-S400","22","15","21.4","0.6","","Glass gobos only."
"Eurolite","TS-8","25","20","25","0","",""
"Eurolite","TS-150 Scan","19","16","16","3","Nearest size is 3 mm under the holder",""
"Eurolite","TS-255 DMX Scanner","25","19","25","0","",""
"Evica","EP10","22.5","17","22.5","0","",""
"Evica","EP20","22.5","17","22.5","0","","GoboPlus lists glass 37.5mm; image 24mm; image 28mm - verify."
"Evica","EP40","37.5","28","37.5","0","",""
"Evica","EP80","37.5","28","37.5","0","","GoboPlus lists image 24mm - verify."
"Evica","EP80-EX","33.2","28","32.7","0.5","",""
"Evica","GP10","22.5","17","22.5","0","",""
"Evica","GP20 (NEW)","37.5","25","37.5","0","","Check with client for new or old version."
"Evica","GP20 (OLD)","22.5","17","22.5","0","","Check with client for new or old version."
"EVL","Mini Spot 150, 250","25","20","25","0","",""
"EVL","Moonflower","23.5","15","22.5","1","Nearest size is 1 mm under the holder",""
"EVL","Pro Spot 250, 575","27","22","26.5","0.5","",""
"EVL","Spin","22.5","5","22.5","0","","Image area unusually small against the 22.5 mm glass - verify."
"Evolite","Hybrid 17R","25","16","25","0","","Glass gobos only."
"Expelec","PI 300 R1 IP Glass gobo","50","38","50","0","",""
"Expelec","PI 300 R1 IP Metal gobo","54","40","53.3","0.7","",""
"Fairfield","50W Projector","50","35","50","0","",""
"FAL","1000","28","25","27.8","0.2","",""
"FAL","2000","30","22","29.9","0.1","",""
"FAL","2500 XLD, 2500 XLDX","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"FAL","Gobo Twin","37.5","28","37.5","0","",""
"FAL","Night Colour, Night Plan","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"FAL","PF 1230, 1245, 1255, 1260","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"FAL","Pro Scan X, Pro Scan XLD","53.3","40","53.3","0","",""
"FAL","Profile","53.3","40","53.3","0","",""
"FAL","Promo Series 1-4","53.3","40","53.3","0","",""
"FAL","Roulette 575","30","22","29.9","0.1","",""
"FAL","Roulette LD, LD Iris","53.3","40","53.3","0","",""
"FAL","Sagomatore 650, 1000, 2000","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"FAL","Scala 575, 1000, 1200, 2000","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"FAL","Three Sixty","25","20","25","0","",""
"Fine Art","250","22","17","21.4","0.6","",""
"Fine Art","1000, 1200, 1500 Spot","37.5","28","37.5","0","",""
"Fine Art","1700 performance","32","26","31.5","0.5","","High-temperature glass gobos only. 1.1mm Maximum Thickness."
"Fine Art","FINE 1400 PERF","37.3","26","35.3","2","Nearest size is 2 mm under the holder","Glass gobos only. 1.1mm Maximum Thickness."
"FOS Technologies","Orion","27","22","26.5","0.5","",""
"Futurelight","Ad Scan AS 200","53.3","40","53.3","0","",""
"Futurelight","CC 200","26.5","23","26.5","0","",""
"Futurelight","DJ Head 250, 575","26.5","23","26.5","0","",""
"Futurelight","DJ Scan 600","35","27","33.8","1.2","Nearest size is 1.2 mm under the holder",""
"Futurelight","DMH 160 Mk2","27","22","26.5","0.5","",""
"Futurelight","DP 200","53.3","40","53.3","0","",""
"Futurelight","DPH 250","53.3","40","53.3","0","",""
"Futurelight","Duke 1200","60","48","53.3","6.7","Nearest size is 6.7 mm under the holder",""
"Futurelight","DV 200","53.3","40","53.3","0","",""
"Futurelight","G Spot","26.5","23","26.5","0","",""
"Futurelight","MH 660","26.5","23","26.5","0","",""
"Futurelight","MH 680","37.5","28","37.5","0","",""
"Futurelight","MH 840, 860","26.5","23","26.5","0","",""
"Futurelight","Miracle","60","48","53.3","6.7","Nearest size is 6.7 mm under the holder",""
"Futurelight","PBL-280 Moving Head","16","12","16","0","",""
"Futurelight","PHS 200-210","25","20","25","0","",""
"Futurelight","PHS 260, 280, 300E, 575, 750E","26.5","23","26.5","0","",""
"Futurelight","PHS 710","28","23","27.8","0.2","",""
"Futurelight","PHS 1200 E","37.5","28","37.5","0","",""
"Futurelight","PSC 5751","26.5","23","26.5","0","",""
"Futurelight","PSD 200 Promo Scan","53.3","40","53.3","0","",""
"Futurelight","Ruby 575","86","64.5","86","0","",""
"Futurelight","SC 250","16","13","16","0","",""
"Futurelight","SC 940, 980","53.3","40","53.3","0","",""
"Futurelight","Voyager","32.5","28","31.5","1","Nearest size is 1 mm under the holder",""
"G-Lites","250 S","27","21","26.5","0.5","",""
"G-Lites","300 S","28","21.5","27.8","0.2","",""
"G-Lites","575 S","43.5","33.5","37.5","6","Nearest size is 6 mm under the holder",""
"G-Lites","600 SZ","28","21.5","27.8","0.2","","1.1mm Maximum Thickness."
"G-Lites","1200 SZ","28","21","27.8","0.2","","1.1mm Maximum Thickness."
"Gantom","IQ","19","15","16","3","Nearest size is 3 mm under the holder",""
"Gantom","Juni","19","15","16","3","Nearest size is 3 mm under the holder",""
"Gear 4 Music","SOL 7G Light","35","26","33.8","1.2","Nearest size is 1.2 mm under the holder",""
"Geni Electronics Co., Ltd.","Gobo Projector","37","17","35.3","1.7","Nearest size is 1.7 mm under the holder",""
"Geni Electronics Co., Ltd.","Mizar Rotating","45","40","44","1","Nearest size is 1 mm under the holder","Gobo holder: Rotating."
"Geni Electronics Co., Ltd.","Mizar Static","48","40","44","4","Nearest size is 4 mm under the holder","Gobo holder: Static."
"Geni Electronics Co., Ltd.","Mojo Rotogo","25","18","25","0","",""
"Geni Electronics Co., Ltd.","MojoRotogo CDM 150","25","18","25","0","",""
"Geni Electronics Co., Ltd.","MojoScan 3","25","18","25","0","",""
"Geni Electronics Co., Ltd.","OBY 3 250W, 5 575W","31","24","30.8","0.2","",""
"Geni Electronics Co., Ltd.","Shiva 250, 350","25","18","25","0","",""
"Geni Electronics Co., Ltd.","Ultima 2 Projector","42","32","37.5","4.5","Nearest size is 4.5 mm under the holder",""
"Genius","Image Projector","50","35","50","0","",""
"Genius","Jolly","30","25","29.9","0.1","",""
"Genius","Motor Colour","30","25","29.9","0.1","",""
"Genius","Motor Show","30","25","29.9","0.1","",""
"Genius","Nexus 1, 2, 3","30","25","29.9","0.1","",""
"Genius","Psycho Light","50","35","50","0","",""
"German Light Products","575 Basic","37.5","28","37.5","0","",""
"German Light Products","1200 Basic, 1200 HMI","37.5","28","37.5","0","",""
"German Light Products","GT-1","22.9","13","22.5","0.4","",""
"German Light Products","Impression E350","26.9","21.5","26.5","0.4","",""
"German Light Products","Impression S350","26.9","21.5","26.5","0.4","","Glass gobos only. 1.1mm Maximum Thickness."
"German Light Products","Impression Spot One","27","20","26.5","0.5","",""
"German Light Products","Joy 300","26","22","25.5","0.5","",""
"German Light Products","Junior Scan 1, 2","13.8","12.5","","","No production size at or below 13.8 mm",""
"German Light Products","Patend/Patent Light 70","37.5","28","37.5","0","",""
"German Light Products","Patend/Patent Light 1200","37.5","28","37.5","0","",""
"German Light Products","Spot One","27","18","26.5","0.5","","Gobo holder: Gobo wheel 1 and 2."
"German Light Products","Startec 1200, 575","37.5","28","37.5","0","",""
"German Light Products","Volkslicht Spot","23","19","22.5","0.5","",""
"German Light Products","YPOC 250, 575, 700","27","22","26.5","0.5","",""
"GoboGobo","DH-S 20 LED, 50 LED, 100 LED","51.8","40","50","1.8","Nearest size is 1.8 mm under the holder",""
"GoboGobo","XK-L 1200 2, 1200 Eco","51.8","40","50","1.8","Nearest size is 1.8 mm under the holder",""
"GoboGobo","XK-M 150 EB, 575, 575 Eco","51.8","40","50","1.8","Nearest size is 1.8 mm under the holder",""
"GoboGobo","XK-X 2500 Eco, Eco 2500 2","51.8","40","50","1.8","Nearest size is 1.8 mm under the holder",""
"Goboman","Q Spot","50×49","22","","","Not a standard round size",""
"GoboService","DIVUM 30K","63.8","48","53.3","10.5","Nearest size is 10.5 mm under the holder",""
"GoboService","Divum 50K","37.3","25","35.3","2","Nearest size is 2 mm under the holder","Donut/bezel mount."
"GoboService","EcoSmart 20 LED, 45, 32 RZ, 32 CR1, 70 RZ","37.5","28","37.5","0","",""
"GoboService","EcoSmart 150-250W","66","45","66","0","",""
"GoboService","EcoSphere","37.5","28","37.5","0","",""
"GoboService","EcoSpot 32 F, 32 Z","37.5","28","37.5","0","",""
"GoboService","EcoSpot 35","37.5","28","37.5","0","",""
"GoboService","GOLED","37.3","30","35.3","2","Nearest size is 2 mm under the holder",""
"GoboService","GOLUX 600","37.3","25","35.3","2","Nearest size is 2 mm under the holder",""
"GoboService","GOLUX 1000","37.3","25","35.3","2","Nearest size is 2 mm under the holder",""
"GoboService","Signum","37.5","30","37.5","0","",""
"GoboService","TLS Dipas","49.2","40","44","5.2","Nearest size is 5.2 mm under the holder",""
"GoboService","TLS Multilogo","49.2","40","44","5.2","Nearest size is 5.2 mm under the holder",""
"Gobosource","ES-70","37.5","25","37.5","0","","4mm Maximum Thickness."
"Gobosource","ES-150","66","50","66","0","","4mm Maximum Thickness."
"Gobosource","ES-250","66","50","66","0","","4mm Maximum Thickness."
"Gobosource","ES-2500","86","60","86","0","","2.7mm Maximum Thickness."
"Gobosource","ES-A10","37.5","25","37.5","0","",""
"Gobosource","ES-B90","66","48","66","0","",""
"Gobosource","ES-B150","66","48","66","0","",""
"Gobosource","ES-B300","66","48","66","0","",""
"Gobosource","ES-C25","37.5","28","37.5","0","",""
"Gobosource","ES-C40","37.5","25","37.5","0","",""
"Gobosource","ES-C60","37.5","25","37.5","0","",""
"Gobosource","ES-C90","66","22","66","0","",""
"Gobosource","ES-LED10","37.5","25","37.5","0","","4mm Maximum Thickness."
"Gobosource","ES-LED25","37.5","25","37.5","0","","4mm Maximum Thickness."
"Gobosource","ES-LED40D","53.3","35","53.3","0","","4mm Maximum Thickness."
"Gobosource","ES-LED40E","37.5","25","37.5","0","","4mm Maximum Thickness."
"Gobosource","ES-LED80","66","48","66","0","","4mm Maximum Thickness."
"Gobosource","ES-LED80CE","37.5","28","37.5","0","",""
"Gobotech","GL10C4","37.5","28","37.5","0","",""
"Gobotech","GL30 GEN II","53.3","25","53.3","0","",""
"Gobotech","GL30 XHP70","53.3","25","53.3","0","",""
"Gobotech","GL40 GEN II","53.3","25","53.3","0","",""
"Gobotech","GL80 GEN II","53.3","25","53.3","0","",""
"Gobotech","GL100 GEN II","66","43","66","0","",""
"Gobotech","GL150 GEN II","66","43","66","0","",""
"Gobotech","GL200 GEN II","66","43","66","0","",""
"Gobotech","GL300 GEN II","66","43","66","0","",""
"Gobotech","Gobozoom USB","27.5","19","26.5","1","Nearest size is 1 mm under the holder","1.1mm Maximum Thickness."
"Gobotech","K10","32","24","31.5","0.5","",""
"Gobotech","K20","32","24","31.5","0.5","",""
"Gobotech","M20","37.5","28","37.5","0","",""
"Gobotech","M33","37.5","28","37.5","0","",""
"Gobotech","M38R","37.5","28","37.5","0","",""
"Goldbright","LogoLight ELC 250","46.5","30","44","2.5","Nearest size is 2.5 mm under the holder",""
"Griven","Acrobat PE 250","32","24","31.5","0.5","",""
"Griven","Acrobat PE 250, PE 575","32","24","31.5","0.5","",""
"Griven","Acrobat PE 575","32","24","31.5","0.5","",""
"Griven","Acrobat PE 1200","53.3","40","53.3","0","",""
"Griven","Colour Clip","53.3","40","53.3","0","",""
"Griven","Gobo Clip 150W MSD inc MK3","53.3","40","53.3","0","",""
"Griven","GoboClip MK3 150","53.3","40","53.3","0","",""
"Griven","GoboLED 7-Pro","27","22","26.5","0.5","",""
"Griven","GoboLED 80","53.3","40","53.3","0","",""
"Griven","GoboLED 500","27","22","26.5","0.5","",""
"Griven","Gobostorm","53.3","40","53.3","0","",""
"Griven","Gobostorm Plus","53.3","40","53.3","0","",""
"Griven","Inse 575","60","33","53.3","6.7","Nearest size is 6.7 mm under the holder",""
"Griven","Magic Scan","39","32","37.5","1.5","Nearest size is 1.5 mm under the holder",""
"Griven","Popscan","32","24","31.5","0.5","",""
"Griven","Profile 650","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"Griven","Profile 1000","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"Griven","Profile 2000","86","64.5","86","0","",""
"Griven","ProMotion 1200","53.3","40","53.3","0","",""
"Griven","Scavision","32","24","31.5","0.5","",""
"GTD","GTD-330C","14.4","9.5","","","No production size at or below 14.4 mm","1.1mm Maximum Thickness."
"GTD","GTD-440","14.4","6.5","","","No production size at or below 14.4 mm","1.1mm Maximum Thickness."
"GTD","GTD-1500","33","27","32.7","0.3","",""
"GTD","GTD-LM600","35.9","30","35.3","0.6","",""
"Hedler","Profispot","25","22","25","0","",""
"Hensel","Projector Attachment 618","86","64.5","86","0","",""
"Hensel","Super Spot","86","64.5","86","0","",""
"High End Systems","Cyberlight","44","36","44","0","","1.75mm Maximum Thickness. GoboPlus lists image 38mm - verify."
"High End Systems","Cyberlight Turbo","44","38","44","0","","1.75mm Maximum Thickness."
"High End Systems","Image Marketing Projector","37.5","35","37.5","0","","GoboPlus lists image 28mm - verify."
"High End Systems","Intellabeam","25","22","25","0","",""
"High End Systems","Intellabeam 700 HX","25","22","25","0","",""
"High End Systems","SHOWGUN","64.9","53","53.3","11.6","Nearest size is 11.6 mm under the holder","64.9mm Glass without ring. GoboPlus lists glass B-86mm; image 64.5mm - verify."
"High End Systems","Sola Spot 2000","30","25","29.9","0.1","",""
"High End Systems","SolaFrame 750","30","24","29.9","0.1","","Potentially very hot. GoboPlus lists image 21mm - verify."
"High End Systems","SolaFrame 1000","30","24","29.9","0.1","","Potentially very hot."
"High End Systems","SolaFrame 1500","30","24","29.9","0.1","","Potentially very hot. GoboPlus lists image 25mm - verify."
"High End Systems","SolaFrame 2000","30","24","29.9","0.1","","Potentially very hot."
"High End Systems","SolaFrame 2000 - Fixed, Metal Gobo Only","34","27","33.8","0.2","",""
"High End Systems","SolaFrame 2000 - Rotating","30","24","29.9","0.1","","1.2mm Maximum Thickness."
"High End Systems","SolaFrame 3000 - Fixed, Metal Gobos Only","33","25","32.7","0.3","",""
"High End Systems","SolaFrame - 3000 Rotating, Glass Only","30","25","29.9","0.1","","1.1mm Maximum Thickness."
"High End Systems","SolaFrame Studio","25","20","25","0","","1.1mm Maximum Thickness."
"High End Systems","SolaFrame Theatre","30","24","29.9","0.1","","Potentially very hot. GoboPlus lists image 25mm - verify."
"High End Systems","SolaHyBeam 1000","30","25","29.9","0.1","","1.1mm Maximum Thickness."
"High End Systems","SolaHyBeam 2000","30","25","29.9","0.1","","1.25mm Maximum Thickness."
"High End Systems","SolaHyBeam 3000","30","25","29.9","0.1","","1.1mm Maximum Thickness."
